Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
1962,131,"Adventure, Drama, Fantasy",6.0,35,Shantilal Soni,Anjali Devi,Mahipal,Shashikala
2004,131,Thriller,6.0,35,Ramesh Bhatkar,Vijay Kadam,Rekha Rao,Unknown
1963,131,Fantasy,6.0,35,Uma Dutt,Anita Guha,Rajan Haksar,Indira
2001,131,Fantasy,6.0,35,Shiv Krishna,Prema,Unknown,Unknown
1957,131,Unknown,6.0,35,Babubhai Mistry,Ajit,Krishna Kumari,Shahu Modak
1970,131,Unknown,6.0,35,Babubhai Mistry,Unknown,Unknown,Unknown
2003,131,Fantasy,3.4,10,Ramanarayanan,Ramya Krishnan,Karan,Prithvi
1966,131,Fantasy,6.0,35,Shantilal Soni,Vijaya Choudhury,Indira,Mahipal
1957,131,"Adventure, Fantasy",6.5,6,Raman B. Desai,Manher Desai,Helen,Trilok Kapoor
1987,127,Thriller,6.0,35,P.S. Prakash,Anuradha,Aruna,Jayamalini
2004,131,Thriller,6.0,35,Kishan Shah,Vinod Tripathi,Monica Tripathi,Vishwajeet Soni
1973,131,Fantasy,6.0,35,Shantilal Soni,Sujit Kumar,Sanjana,Yunus Bihari
1963,131,"Drama, Fantasy",6.0,35,Shantilal Soni,Mahipal,Vijaya Choudhury,Babloo
1989,131,"Action, Fantasy",6.0,35,Ramkumar Bohra,Rajni Bala,Firoz Irani,Puneet Issar
1957,131,Fantasy,6.0,35,Lekhraj Bhakri,Shakila,Mahipal,Hiralal
1972,136,"Adventure, Drama, Fantasy",5.6,14,Babubhai Mistry,Jayshree Gadkar,Prithviraj Kapoor,Shree Bhagwan
1953,131,"Fantasy, Musical",6.0,35,Raman B. Desai,Nirupa Roy,Manher Desai,Durga Khote
1971,131,Fantasy,6.0,35,Shantilal Soni,Mohan Choti,Indira,Paidi Jairaj
2001,131,Thriller,6.0,35,S.N. Azhar,Usha Bachani,Rachna Goel,Shraddha Sharma
1990,131,Action,6.0,35,Krishna Ghattamaneni,Vijayshanti,Unknown,Unknown
1991,136,Fantasy,4.4,17,V. Menon,Rakesh Bedi,Donald Burman,Gajendra Chauhan
1980,131,Action,6.0,35,Rajasekar,Rati Agnihotri,Chiranjeevi,Madhavi
1987,131,Drama,6.0,35,Madhuri,Sudhir Pandey,Lalita Pawar,Mahesh Raaj
1995,157,"Action, Drama",5.5,564,Mahesh Bhatt,Naseeruddin Shah,Ajay Devgn,Juhi Chawla
1990,131,"Action, Crime, Drama",4.3,67,Shibu Mitra,Dharmendra,Chunky Panday,Sonam
2001,131,Horror,6.0,35,Dinesh Thakkar,Abhishek,Chandni Gupta,Unknown
2018,131,Unknown,6.0,35,Rajasekhar,Unknown,Unknown,Unknown
1992,146,Drama,6.0,35,G.B. Vijay,Vijayan,Amala Akkineni,Prabhu
1979,129,"Drama, Family",6.0,21,B. Padmanabham,Jeetendra,Leena Chandavarkar,Nirupa Roy
1986,177,"Crime, Drama, Thriller",7.5,984,Mahesh Bhatt,Nutan,Kumar Gaurav,Sanjay Dutt
2021,131,Mystery,6.0,35,Anees Bazmee,Ajay Devgn,Sameera Reddy,Bhoomika Chawla
2005,125,"Mystery, Thriller",5.9,81,Amol Shetge,Dia Mirza,Aryan Vaid,Mandira Bedi
2016,137,"Action, Thriller",5.9,35,A.R. Murugadoss,Sonakshi Sinha,Anurag Kashyap,Konkona Sen Sharma
1987,129,"Thriller, Action",4.3,34,Ajay Kashyap,Shashi Kapoor,Sanjay Dutt,Amrita Singh
2017,147,"Action, Thriller",6.3,35,Shivam Nair,Taapsee Pannu,Akshay Kumar,Manoj Bajpayee
1991,129,"Crime, Drama",4.5,11,Ajit Dewani,Bhanu,Daya Dongre,Gulshan Grover
1977,127,Action,5.8,5,Manmohan Desai,Kamal Mehra,Biswajit Chatterjee,Shatrughan Sinha
1994,128,"Action, Crime, Drama",4.5,127,Mahesh Bhatt,Pooja Bhatt,Mithun Chakraborty,Atul Agnihotri
1991,131,Fantasy,6.0,35,Dushyant Kapoor,Unknown,Unknown,Unknown
1981,131,Drama,6.0,35,Neeta Mehta,Sarika,Rakesh Roshan,Ravindra Kapoor
2013,66,"Drama, Thriller",6.7,18,Dipanshu Dang,Abhay Chaudhary,Arzoo Dandyan,Dipanshu Dang
2005,131,Thriller,6.0,35,Hemant Birje,Sanjeevani Gupta,Raza Murad,Prithvi
1986,131,Action,6.0,35,Virendra Sharma,Lalit Arora,Sahila Chaddha,Leena Das
1955,131,"Comedy, Drama, Romance",7.5,13,D.N. Madhok,Madhubala,Abhi Bhattacharya,Vijayalaxmi
2003,45,Documentary,6.0,35,Anjali Monteiro,Bhau Korde,Unknown,Unknown
1947,131,"Drama, Family",6.0,35,S.U. Sunny,Shyam Kumar,Suraiya,Amar
2005,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1954,131,"Adventure, Drama, Romance",6.0,35,S.K. Ojha,Nalini Jaywant,Ashok Kumar,Murad
2013,131,Action,6.0,35,Nabh Kumar 'Raju',Arhan Singh,Elena Kazan,Nagesh Bhonsle
1953,131,Unknown,6.0,35,Subodh Mitra,Tulsi Chakraborty,Vasant Choudhury,Devbala
2021,131,Drama,6.0,35,Sujoy Mukherjee,Amika Shail,Salim Zaidi,Vaibhav Shukla
1960,131,Drama,6.0,35,Tara Harish,Chandrashekhar,Kumkum,K.N. Singh
1989,131,Horror,4.8,27,Mohanji Prasad,Meenakshi Sheshadri,Nitish Bharadwaj,Sadashiv Amrapurkar
1991,131,"Drama, Musical",3.9,21,Babbar Subhash,Sheeba,Saathi Ganguly,Shahbaaz Khan
2017,131,Thriller,6.0,35,Iqbal Baksh,Sikender Khan,Rajpal Yadav,Unknown
1951,131,Romance,6.9,12,Hira Singh,Dev Anand,Madhubala,Sunalini Devi
1943,118,Unknown,6.0,35,Zia Sarhadi,Aman,Noor Jehan,Masood
1971,156,Drama,6.7,13,Deven Verma,Asha Parekh,Navin Nischol,Nirupa Roy
2003,131,Thriller,6.0,35,Shakeela,Unknown,Unknown,Unknown
2003,131,Thriller,6.0,35,Unknown,Unknown,Unknown,Unknown
2000,131,Thriller,6.0,35,Mumtaz,Sindhuri,Sona,Urvashi
2002,81,Thriller,6.0,35,Shakeela,Unknown,Unknown,Unknown
1984,131,Drama,6.0,35,Ved Rahi,Rakesh Bedi,Master Bhagwan,Aruna Irani
1968,126,History,7.1,8,S.N. Tripathi,Feroz Khan,Kumari Naaz,Sheikh Mukhtar
1934,131,Unknown,6.0,35,Jayant Desai,Noor Mohammad Charlie,Ishwarlal,Unknown
1962,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1982,143,"Drama, Romance",7.9,863,Govind Moonis,Sachin Pilgaonkar,Sadhana Singh,Inder Thakur
1948,126,Drama,6.8,46,Kishore Sahu,Dilip Kumar,Kamini Kaushal,David Abraham
1990,131,"Drama, Family",6.0,35,Rajshri Nair,Sheela Sharma,Unknown,Unknown
1973,131,Romance,5.5,13,Shyam Ralhan,Rakesh Roshan,Yogeeta Bali,Prem Chopra
1987,131,Action,6.0,35,Anup Malik,Shoma Anand,Arun Govil,Mazhar Khan
1989,131,"Action, Adventure, Drama",4.9,24,Mehul Kumar,Dharmendra,Jeetendra,Anita Raj
1992,131,Action,6.0,35,Sujit Guha,Victor Banerjee,Prasenjit Chatterjee,Utpal Dutt
1978,131,Drama,6.0,35,Rajni Bala,Rita Bhaduri,Nalin Dave,Mahesh Joshi
2016,45,Documentary,6.0,35,Bhaavna Israni,Unknown,Unknown,Unknown
2016,73,Documentary,7.2,86,Krishna Agazzi,Filippo Gastaldi,Unknown,Unknown
1943,131,Unknown,6.0,35,Vishram Bedekar,Leela Desai,Kusum Deshpande,Pratima Devi
2000,150,"Drama, Fantasy",5.6,23,Om Sai Prakash,Soundarya,Prema,Sai Kumar
1934,131,Unknown,6.0,35,Jyotish Bannerjee,Anwari,Nimbalkar,Unknown
1966,131,Action,6.0,35,Unknown,Unknown,Unknown,Unknown
1935,131,Unknown,6.0,35,Y.V. Rao,Tara,Unknown,Unknown
2020,93,Documentary,6.0,35,Nagnath Kharat,Malan Kharat,Ramchandra Kharat,Ganesh Pund
1955,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1954,139,"Drama, Musical, Romance",6.7,61,Nandlal Jaswantlal,Vyjayanthimala,Pradeep Kumar,Jeevan
1976,180,"Fantasy, Thriller, Action",6.3,442,Rajkumar Kohli,Sunil Dutt,Feroz Khan,Vinod Mehra
2021,131,"Drama, Fantasy",6.0,35,Vishal Furia,Shraddha Kapoor,Unknown,Unknown
1992,131,"Fantasy, Musical",6.0,35,Mohan T. Gehani,Neelima Azim,Goga Kapoor,Shakti Kapoor
1987,131,Drama,6.0,35,Ambika,Madhavi,Unknown,Unknown
1966,131,Fantasy,6.0,35,Balwant Bhatt,Master Bhagwan,Shakeela Bano Bhopali,Bela Bose
1979,131,"Adventure, Drama, Thriller",6.2,8,Shantilal Soni,Vijay Arora,Rita Bhaduri,Mahesh Bhatt
1988,131,"Action, Drama, Fantasy",6.0,35,Asrani,Iftekhar,Jayshree T.,Unknown
1986,137,"Fantasy, Romance",6.5,880,Harmesh Malhotra,Sridevi,Rishi Kapoor,Amrish Puri
1951,131,"Mystery, Romance, Thriller",6.2,21,Ravindra Dave,Nutan,Nasir Khan,Bipin Gupta
1945,131,"Action, Adventure, Drama",4.8,6,Master Bhagwan,Master Vithal,Khurshid Jr.,Master Bhagwan
2014,131,Drama,6.0,35,Atul Garg,Darshan Jariwala,Deepshikha Nagpal,Govind Namdeo
1947,131,Unknown,6.0,35,D.K. Sapru,Unknown,Unknown,Unknown
1950,131,Unknown,6.0,35,S.D. Narang,Unknown,Unknown,Unknown
1934,131,Unknown,6.0,35,Balwant Bhatt,Gulab,Kashinath,Unknown
1942,131,Unknown,6.0,35,Abdul Rashid Kardar,Paidi Jairaj,Unknown,Unknown
1973,122,Drama,6.0,35,B.R. Ishara,Reena Roy,Satyen,Danny Denzongpa
1981,131,Drama,6.0,35,Ram Pahwa,Parikshit Sahni,Vidya Sinha,Sarika
1943,131,Unknown,6.0,35,D.D. Kashyap,Paresh Bannerjee,Paidi Jairaj,Rose
1960,131,"Drama, Family",6.0,35,P.L. Santoshi,Daisy Irani,Sheila Kashmiri,Sailesh Kumar
1946,131,Drama,7.4,7,Kant J. Parmar,Jeevan,Ranjana,Rajkumari Shukla
1959,131,"Drama, Family",6.0,35,Brij,Ashok Kumar,Geeta Bali,Anoop Kumar
1990,131,Horror,6.0,35,Devan,Balan K. Nair,S. Shailaza,Unknown
1948,131,Unknown,6.0,35,S.K. Ojha,Geeta Bali,Sulochana Latkar,Rajendra
1941,131,Unknown,6.0,35,Chimankant Gandhi,Lalit J. Mehta,Sardar Akhtar,Meena Kumari
1967,158,"Drama, Family",6.3,20,C.V. Sridhar,Ashok Kumar,Mala Sinha,Raaj Kumar
1965,131,"Drama, Family, Musical",6.3,13,R. Chandra,Rajeev,Tanuja,Ulhas
1951,131,Unknown,6.0,35,Mohan Sinha,Nirupa Roy,Amarnath,Ulhas
1943,131,Unknown,6.0,35,S. Khalil,Sheikh Mukhtar,Anees Khatoon,Lala Yaqoob
1969,131,Action,6.0,35,Jeevan,Prithviraj Kapoor,Dev Kumar,Kumkum
2021,128,Drama,7.4,35,Bugs Bhargava Krishna,Arjun Rampal,Manav Kaul,Anand Tiwari
1986,131,Unknown,6.0,35,Gouri,Kamal Kapoor,Kunal Kapoor,Ravindra Mahajani
1953,131,Unknown,6.0,35,Ravindra Dave,Geeta Bali,Abhi Bhattacharya,Leela Mishra
1973,134,"Drama, Romance",6.3,28,Kanak Mishra,Shashi Kapoor,Moushumi Chatterjee,Rehman
2005,104,"Drama, Horror, Mystery",4.3,773,Shripal Morakhia,Urmila Matondkar,Anuj Sawhney,Malavikka
1998,131,Romance,6.0,35,Simran,Srividya,Unknown,Unknown
1989,131,"Action, Crime",4.1,18,Mehul Kumar,Shatrughan Sinha,Sonam,Chunky Panday
1979,116,"Drama, Family",6.8,15,Prashant Nanda,Baldev Khosa,Zarina Wahab,Leela Mishra
1943,121,Drama,7.5,30,Mehboob Khan,Ashok Kumar,Sitara,Veena
1951,131,Romance,6.0,35,Geeta Bali,Nasir Khan,Heera Sawant,Unknown
2005,131,Thriller,6.0,35,Pratap Chandra,Unknown,Unknown,Unknown
1960,131,Drama,6.0,35,Master Bhagwan,Shakeela Bano Bhopali,Daljeet,Uma Dutt
1981,117,"Drama, Family, Romance",6.4,30,Dilip Naik,Kulbhushan Kharbanda,Raj Kiran,Swaroop Sampat
2019,131,Drama,7.0,42,Zaigham Imam,Inaamulhaq,Sharib Hashmi,Kumud Mishra
1933,131,Unknown,6.0,35,Khurshid Begum,Patience Cooper,Unknown,Unknown
1962,134,"Drama, Romance",5.9,7,Tara Harish,Ashok Kumar,Manoj Kumar,Shakila
2006,128,"Action, Adventure, Fantasy",3.3,35,Sachin Bajaj,Sunny Deol,Vivek Oberoi,Sameera Reddy
2010,122,"Crime, Drama, Mystery",5.0,56,Mohan Savalkar,Malaika Arora,Jhuma Biswas,Suresh Chatwal
1988,135,Drama,6.0,35,Jasubhai,Nalin Dave,Manher Desai,Mahesh Joshi
1933,131,Unknown,6.0,35,Akhtari,Mukhtar Begum,Krishna Chandra Dey,Indubala
2004,131,"Drama, Romance",7.2,78,V. Nagendra Prasad,Sudeep,Sangeetha,Srinath
2009,101,"Action, Drama, History",6.1,12,Abhijeet Kumar,Durba Sahay,Kumar Amlendu,Rajeev Ashish
1996,148,"Action, Drama, Family",4.1,51,Kawal Sharma,Sanjay Dutt,Farha Naaz,Sidhant Salaria
1947,131,Drama,6.0,35,Balwant Dave,Dulari,Bhim,Dilawar
1982,171,"Action, Comedy, Drama",7.3,35,Prakash Mehra,Waheeda Rehman,Shashi Kapoor,Amitabh Bachchan
1973,146,Drama,7.3,35,Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Simi Garewal
1978,131,Drama,6.0,35,Satyendra Kapoor,Baldev Khosa,Ramesh Mehta,Kiran Seth
1943,131,Unknown,6.0,35,M. Sadiq,S.U. Sunny,Allauddin,Protima Dasgupta
2018,141,"Comedy, Drama, Romance",2.2,35,Vipul Amrutlal Shah,Parineeti Chopra,Arjun Kapoor,Paul Blackwell
1991,131,Action,6.0,35,Megastar Maharishi Aazaad,Megastar Maharishi Aazaad,Unknown,Unknown
1965,131,Comedy,6.0,35,Daljit Krishan,Mehmood,Ameeta,Ajit
2007,128,"Comedy, Drama, Romance",7.1,35,Vipul Amrutlal Shah,Akshay Kumar,Katrina Kaif,Rishi Kapoor
2018,84,Adventure,7.4,94,Dar Gai,Arya Dave,Namdev Gurav,Zoya Hussain
1982,112,"Drama, Family",7.6,420,Gulzar,Sanjeev Kumar,Sharmila Tagore,Shabana Azmi
2005,131,Thriller,6.0,35,Rajesh Sabharwal,Vinod Tripathi,Unknown,Unknown
1991,131,Romance,6.0,35,Kasi Nath,Unknown,Unknown,Unknown
1994,131,Drama,5.0,9,Dhalapathi,Manager Cheena,Ganthimathi,Charu Haasan
2010,152,"Action, Crime, Romance",5.4,426,Sreenu Vaitla,Venkatesh Daggubati,Trisha Krishnan,Brahmanandam
1949,131,"Drama, Romance",7.1,16,Hira Singh,Kishore Sahu,Kamini Kaushal,Leela Chitnis
1988,131,"Drama, Mystery",6.6,41,Hrishikesh Mukherjee,Raj Babbar,Vinod Mehra,Zeenat Aman
2020,131,Romance,4.9,13,Hidayat Khan,Muntazir Ahmad,Christeena Biju,Princy Biju
2014,146,Drama,8.2,344,A.K. Bir,Arif Zakaria,Puneet Sikka,Adil Hussain
1934,131,Unknown,6.0,35,B. Pawar,Shahzadi,Unknown,Unknown
1948,131,Unknown,6.0,35,Ratilal Hemchand Punatar,Nirupa Roy,Unknown,Unknown
1934,131,Unknown,6.0,35,Nanubhai Vakil,Zubeida,Shahu Modak,Master Dinkar
2015,45,Documentary,6.0,35,Mahim Joshi,Vivek Oberoi,Unknown,Unknown
1938,131,Unknown,6.0,35,Keshavrao Dhaiber,Durga Khote,Unknown,Unknown
1998,82,Drama,6.0,10,Apurba Kishore Bir,Soubhagya Chandan Satapathy,Unknown,Unknown
1951,131,Unknown,6.0,35,Vasant Joglekar,Nalini Jaywant,Durga Khote,Mahipal
1981,131,Unknown,6.6,19,J. Mahendran,Rajendra Prasad,Unknown,Unknown
1971,131,Drama,6.0,35,Ram Narayan Gabale,Unknown,Unknown,Unknown
2007,108,"Comedy, Drama, Family",6.0,412,Samir Karnik,Dwij Yadav,Bobby Deol,Sharat Saxena
1952,131,Unknown,6.0,35,Datta Dharmadhikari,Raja Gosavi,Unknown,Unknown
1971,131,Drama,6.0,35,C.P. Dixit,Chandrima Bhaduri,Ruma Bhaduri,Brahmachari
2018,131,Drama,6.0,35,Vijay Pal,Yash Pandit,Harry Josh,Alankrita Bora
1980,131,Fantasy,6.6,12,Parvati Menon,Abid,Agha,Kishore Bhatt
1969,133,"Action, Crime, Drama",6.2,24,T. Prakash Rao,Pran,Ajit,Anwar Hussain
1973,131,Musical,6.0,35,Shomu Mukherjee,Laxmi Chhaya,Manik Dutt,Iftekhar
2018,133,"Comedy, Drama, Horror",5.9,954,Faraz Haider,Abhay Deol,Patralekhaa Paul,Rajesh Sharma
1948,131,Unknown,6.0,35,D.N. Madhok,Nigar Sultana,Unknown,Unknown
2021,131,Drama,6.0,35,Kaun Bhatia,Deboprasad Halder,Anuradha Mukherjee,Satakshi Nandy
2007,115,"Crime, Drama, Romance",5.4,35,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Bobby Deol,Akshaye Khanna
1955,130,Romance,8.6,16,Lekhraj Bhakri,Shammi Kapoor,Madhubala,Ajit
1989,131,"Drama, Mystery",4.4,28,Raj Khosla,Rishi Kapoor,Farha Naaz,A.K. Agnihotri
1956,131,Thriller,6.0,35,Ram Pahwa,Chitra,Maya Dass,Manher Desai
1949,131,Action,6.0,35,Ahmed Ghazi,Mehrunissa,Dilawar,Shyama
1948,131,Action,6.0,35,Ramanlal Desai,Navinchandra,Basant Malini,Bhim
1933,131,"Fantasy, History",6.0,35,Anand Prasad Kapoor,Sardar Akhtar,Jani Babu,Zebunissa
2004,131,Drama,6.0,35,Suresh Jain,Amit Pachori,Reena Kapoor,Rimple
1949,131,Unknown,6.0,35,David Abraham,Unknown,Unknown,Unknown
1972,132,"Drama, Fantasy",6.0,35,Dhirubhai Desai,Jeevan,Shahu Modak,B.M. Vyas
1989,131,Fantasy,6.0,35,Dilip Naik,Asrani,Manju Asrani,Beena Banerjee
1991,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
2004,131,Unknown,6.0,35,Unknown,Unknown,Unknown,Unknown
1981,122,"Comedy, Drama",7.4,980,Hrishikesh Mukherjee,Amol Palekar,Swaroop Sampat,Utpal Dutt
1991,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1991,214,"Action, Drama",5.5,424,N. Chandra,Sunny Deol,Dimple Kapadia,Urmila Matondkar
1949,131,Fantasy,6.0,35,Sohrab Modi,Shobhna Samarth,Niranjan Sharma,Mahipal
2017,110,Action,6.8,27,Jogesh Sehdeva,Rahuul Aamath,Eklavey Kashyap,Deepak Mehrotra
2020,131,Biography,6.0,35,Badrinath Sabat,Aryan Singh Rajput,Unknown,Unknown
1946,131,Unknown,8.1,14,D.D. Kashyap,David Abraham,Alka Achrekar,Nargis
1942,131,Unknown,6.0,35,Raja Yagnik,Trilok Kapoor,Lalita Pawar,Unknown
1981,131,Unknown,6.0,35,S.K. Chand,Unknown,Unknown,Unknown
2014,131,Drama,6.0,35,Rita S. Roy,Rana Jung Bahadur,Annuradha Bannerjee,Lokesh Deewangan
1936,131,Unknown,6.0,35,Jehanara Kajjan,Unknown,Unknown,Unknown
2011,131,Documentary,6.0,35,Fahad Samar,Simone Singh,Unknown,Unknown
1940,179,Unknown,6.0,35,Vijay Bhatt,Vishnupant Pagnis,Durga Khote,Pandey
1957,131,Biography,6.5,6,Devendra Goel,Shahu Modak,Radhakrishan,Pratima Devi
1985,131,Drama,6.0,35,Raja Bundela,Sudhir Dalvi,Madhu Malhotra,Chandrakant Pandya
1963,125,Drama,7.0,21,Nitin Bose,Sunil Dutt,Nanda,Om Prakash
1940,150,Drama,6.5,11,Debaki Bose,Leela Desai,Bhanu Bannerjee,Najmul Hussain
1965,131,Drama,6.0,35,Anjali Devi,Padmini,M.G. Ramachandran,Unknown
1978,140,"Comedy, Drama",6.5,13,I.S. Johar,Anitav Bachchan,Kanauj Kumar,Shahi Kapoor
1981,197,"Action, Musical, Romance",7.1,35,Manmohan Desai,Amitabh Bachchan,Shatrughan Sinha,Rishi Kapoor
1997,138,"Comedy, Drama, Romance",5.3,333,Kirti Kumar,Govinda,Mamta Kulkarni,Saeed Jaffrey
1986,140,"Comedy, Drama",5.6,164,Rama Rao Tatineni,Rishi Kapoor,Farha Naaz,Radhika Sarathkumar
1992,132,Drama,3.8,9,Kalpataru,Chunky Panday,Nutan,Farha Naaz
2014,81,"Drama, Romance",6.0,35,Sounak Mukhopadhyay,Ankita Sarkar,Shahraaj,Unknown
2013,122,"Drama, Thriller",3.2,35,Amit Saxena,Poonam Pandey,Shivam Patil,Vishal Bhonsle
1991,130,"Action, Crime, Drama",6.0,35,Rajkumar Patra,Rocky Rupkumar Patra,Rajkumar Patra,Aparna Giri
2016,67,Documentary,9.0,46,Dheeraj Sharma,Unknown,Unknown,Unknown
2001,131,Thriller,6.0,35,Unknown,Unknown,Unknown,Unknown
2002,65,Thriller,6.0,35,Shakeela,Sindhu,Unknown,Unknown
2005,131,Thriller,6.0,35,Unknown,Unknown,Unknown,Unknown
1986,131,Romance,4.5,8,I.V. Sasi,Krishna Ghattamaneni,Sridevi,Unknown
1945,131,Drama,6.0,35,Vedi,Kumar,Pramila,David Abraham
1936,131,Unknown,6.0,35,Pesi Karani,Akhtari,Angurbala,Unknown
1986,139,"Action, Drama",5.1,32,Aravind Sen,Rajesh Khanna,Shabana Azmi,Deepti Naval
1985,131,Drama,6.2,11,Ashok Chopra,Om Puri,Priya Tendulkar,Sadashiv Amrapurkar
1983,131,"Action, Drama",5.5,359,Pramod Chakravorty,Amitabh Bachchan,Hema Malini,Pran
1954,148,"Comedy, Crime, Drama",6.2,32,I.S. Johar,Nalini Jaywant,Ajit,Ulhas
1975,131,Drama,5.8,9,Sohanlal Kanwar,Vijay Arora,Moushumi Chatterjee,Snehlata
2005,83,Documentary,6.0,35,Lalit Vachani,Unknown,Unknown,Unknown
1947,131,Unknown,6.0,35,Najam Naqvi,Shamim Bano,Jillo,Khalil
1969,120,"Action, Drama",4.9,7,Rajesh Nanda,Bindu,Mehmood Jr.,Ashish Kumar
2015,137,Action,6.2,25,Anil Naryani,Bharat Balani,Vaibhav Chauhan,Sikandar Kureshi
2009,133,Drama,6.0,35,Dinesh Chaudhary,Monu Dhankad,Kavita Joshi,Pratap Kumar
2000,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
2000,131,Drama,6.0,35,Kamdar,Unknown,Unknown,Unknown
1991,131,Action,5.1,88,Ravichandran,Babu Antony,Juhi Chawla,Delhi Ganesh
2017,90,Documentary,6.0,35,Sanjeev Sharma Ronkel,Kavalam Narayana Panicker,Ratan Thiyam,Kamlesh Dutt Tripathi
1952,131,"Drama, Family",6.6,9,Anand Kumar,Ashok Kumar,Nalini Jaywant,Kuldip Kaur
1957,170,"Comedy, Romance, Thriller",6.8,141,Vijay Anand,Dev Anand,Kalpana Kartik,Shashikala
2011,108,"Comedy, Drama",2.5,290,Jag Mundhra,Govinda,Yuvika Chaudhary,Anupam Kher
1962,128,Comedy,5.4,346,Shakti Samanta,Kishore Kumar,Om Prakash,Madan Puri
2006,131,Comedy,3.7,57,T.L.V. Prasad,Rocky Sandhu,Sherlyn Chopra,Rahul Roy
2019,154,Comedy,6.0,35,Pankaj Kr Virat,Kaif Khan,Vividha Kirti,Rashmi Mishra
1951,130,Drama,5.6,13,Mahesh Kaul,Nalini Jaywant,Prem Nath,Nawab Kashmiri
1967,131,Action,6.0,35,Chand,Ajit,Nishi,Chaman Puri
1947,147,Unknown,6.6,25,Nitin Bose,Dilip Kumar,Meera Mishra,Ranjana
1943,121,Drama,6.0,35,Shaukat Hussain Rizvi,Chandra Mohan,Mirza Musharraf,Shobhna Samarth
1983,131,"Action, Drama, Comedy",6.3,142,Rajkumar Kohli,Agha,Rajeev Anand,Raj Babbar
1999,104,Drama,6.6,30,Mani Kaul,Samir Ahmed,Vikrishnah Batt,Anu Joseph
1955,142,"Drama, Family",7.4,103,Bimal Roy,Kishore Kumar,Sheila Ramani,Balraj Sahni
1979,126,"Comedy, Drama",6.4,151,Ismail Memon,Jyoti Swaroop,Sanjeev Kumar,Jaya Bachchan
1978,131,"Comedy, Fantasy",6.9,79,Hrishikesh Mukherjee,Rajesh Khanna,Zaheera,Raj Kapoor
1953,120,"Drama, History",6.2,8,Harsukh Jagneshwar Bhatt,Bhalchandra Shukla,Arvind,Ishwarlal
1967,131,"Crime, Drama, Family",6.3,12,Raj Marbros,Sanjeev Kumar,Balraj Sahni,Indrani Mukherjee
1957,137,"Action, Adventure, Drama",6.5,18,Sohrab Modi,Sohrab Modi,Raaj Kumar,Mala Sinha
2013,119,"Comedy, Drama, Romance",5.8,35,Rohan Sippy,Ayushmann Khurrana,Kunaal Roy Kapur,Pooja Salvi
1934,131,Unknown,6.0,35,Chunilal Parekh,Alaknanda,Navinchandra,Unknown
1953,131,Unknown,6.0,35,Babubhai Mistry,Unknown,Unknown,Unknown
2005,99,Drama,7.1,38,Santosh Sivan,Shweta,Apeksha Bhat,Bobby Darling
1983,149,Drama,6.0,35,Abhi Bhattacharya,Bela Bose,Tarun Ghosh,Anita Guha
1937,131,Unknown,6.0,35,Aspi Irani,Husn Banu,Hansa Wadkar,Unknown
1939,134,Unknown,6.0,35,Franz Osten,Hansa Wadkar,Rama Shukul,V.H. Desai
1935,131,Unknown,3.4,5,Mohan Dayaram Bhavnani,Unknown,Unknown,Unknown
2004,131,Comedy,7.1,323,Sachin Pilgaonkar,Sachin,Sachin Pilgaonkar,Supriya Pilgaonkar
1959,157,"Drama, Musical, Romance",6.5,139,Shantaram Rajaram Vankudre,Sandhya,Mahipal,Keshavrao Date
1955,131,"Drama, Fantasy",6.0,35,Raman B. Desai,Manher Desai,Kumkum,Lalita Pawar
1997,131,Drama,6.0,35,Mazahir Rahim,Jaya Bhattacharya,Master Ashish Gaur,Nikhil Sharma
1978,131,Drama,6.0,35,Rajinder Singh Bedi,Om Prakash,Parikshit Sahni,Tamanna
1967,131,Drama,6.0,35,Ramchandra Thakur,Bharat Bhushan,Naseem Banu,Murad
2018,112,"Comedy, Romance",4.4,877,Jayesh Pradhan,Dharmesh Yelande,Punit Pathak,Raghav Juyal
2000,131,Action,6.0,35,Charulatha,Devaraj,Srinath,Unknown
1956,131,Drama,6.0,35,C.P. Dixit,Anjali Devi,Helen,N.T. Rama Rao
1998,63,Thriller,6.0,35,Jayaprakash Reddy,Sudheer,Umarani,Unknown
1956,142,Romance,5.8,12,K. Amarnath,Kishore Kumar,Meena Kumari,Kumkum
1986,131,"Action, Drama, Romance",6.0,35,Raj Shekhar,Anuradha,Chitra,Kishore
1979,131,Comedy,5.4,12,K. Babuji,Vinod Mehra,Reena Roy,Rekha
2003,131,Action,6.0,35,Gurukiran,Sathyaraj,Shwetha,Upendra
2013,110,"Family, Fantasy, Romance",6.0,35,Sanjeev Rattan,Unknown,Unknown,Unknown
1957,173,"Drama, Musical, Romance",8.0,35,B.R. Chopra,Dilip Kumar,Vyjayanthimala,Ajit
